label,message
spam,"You've WON the UK National Lottery email program! Claim £1,500,000: lottery-intl.org"
ham,"The kids are having a great time at camp. They sent these photos today."
spam,"ACCOUNT NOTICE: Your bank card has been deactivated. Call immediately: 1-866-555-1234"
ham,"What time should I pick you up from the airport tomorrow?"
spam,"EXCLUSIVE OFFER: Buy 1 Get 2 FREE on all weight loss supplements! Order: slim-quick.net"
ham,"I think I left my umbrella at your place yesterday."
spam,"ALERT: Your Amazon order of iPhone 13 Pro will be delivered today. Track: amzn-delivery.co"
ham,"The presentation went really well. The client loved our ideas!"
spam,"Claim your FREE $1,000 Target gift card! You've been selected: tgt-rewards.com"
ham,"Can you send me the address for the restaurant tonight?"
spam,"FINAL NOTICE: Your vehicle warranty is about to expire. Renew now: auto-protect.co"
ham,"I just got home. The traffic was terrible today."
spam,"Your FEDEX package #FE483927 has a delivery exception. Verify address: fedx-delivery.co"
ham,"Did you see that Matt and Sarah got engaged? So happy for them!"
spam,"URGENT: Your Facebook account will be permanently deleted in 24 hours. Verify: fb-secure.co"
ham,"The washing machine is making a weird noise. Do you know how to fix it?"
spam,"CONGRATULATIONS! You qualify for a $250,000 mortgage at 2.5% APR! Apply: home-loans.net"
ham,"I found that book you were looking for at the library."
spam,"Your AT&T bill of $149.99 is past due! Pay now to avoid service disconnection: at-t-billing.co"
ham,"The dog has been acting strange all day. I'm a bit worried."
spam,"You've been selected for EXCLUSIVE access to our new Bitcoin investment platform. 500% returns! crypto-elite.co"
ham,"Can you pick up the kids from soccer practice at 6pm today?"
spam,"SECURITY ALERT: Unauthorized access to your Capital One account. Verify: capitalone-secure.co"
ham,"I made dinner reservations for 7:30 tonight. Does that work for you?"
spam,"ATTENTION: Your McAfee subscription expired. Renew now at 70% OFF: mcafee-renew.co"
ham,"Did you remember to pay the electric bill this month?"
spam,"LAST CHANCE: Your free cruise offer expires TODAY! Claim now: caribbean-cruises.co"
ham,"The plumber is coming tomorrow between 10am and 2pm."
spam,"Your iCloud storage is full. Upgrade now to avoid data loss: apple-id-storage.co"
ham,"I'm so sorry, but I have to cancel our plans tonight. I'm not feeling well."
spam,"$500 Visa Gift Card APPROVAL pending! Confirm your details: visa-gift.co/claim"
ham,"The new restaurant down the street is amazing. We should go there soon."
spam,"IMPORTANT: Your LinkedIn account shows suspicious login attempts. Verify now: lnkd-secure.co"
ham,"Could you help me move this weekend? It won't take more than a couple of hours."
spam,"CONGRATULATIONS! You've been chosen for a $50 Uber Eats credit! Claim now: uber-rewards.co"
ham,"Don't forget that we have dinner with my parents on Sunday."
spam,"WARNING: Your Microsoft account has been temporarily suspended. Verify identity: ms-verify.co"
ham,"I just got a promotion at work! Let's celebrate this weekend!"
spam,"URGENT: Your Wells Fargo account has been locked. Call now: 1-888-555-9876"
ham,"What time does the movie start tonight?"
spam,"AMAZING opportunity! Make $300-$500 daily from your phone! Start now: easy-cash.co"
ham,"Can you send me that recipe for chocolate chip cookies?"
spam,"Your Apple ID was used to sign in on a new iPhone. Was this you? Verify: apple-secure.co"
ham,"I'm running late for our meeting. Be there in about 15 minutes."
spam,"ATTENTION: Your Amazon Prime membership has expired. Renew now: amazon-renew.co"
ham,"Do we need anything from the grocery store?"
spam,"URGENT: Your Visa card has been charged $499.99 for PlayStation 5. If not you, cancel: visa-secure.co"
ham,"The doctor's appointment is at 3:30pm tomorrow. Don't forget!"
spam,"FREE Vacation Package! 5 days in Las Vegas! All expenses paid! Claim now: vegas-getaway.co"
ham,"Could you please send me the address for the party on Saturday?"
spam,"FINAL WARNING: Your electricity will be shut off in 24 hours due to non-payment. Pay now: utility-pay.co"
ham,"Just finished that book you recommended. It was amazing!"
spam,"Your UPS package is on hold. Last delivery attempt tomorrow. Verify address: ups-verify.co"
ham,"Can you pick up some milk on your way home?"
spam,"YOUR iPhone Giveaway entry CONFIRMED! You could win an iPhone 14! Results: iphone-winner.co"
ham,"The meeting has been moved to 3pm instead of 2pm tomorrow."
spam,"SECURITY ALERT: Your Facebook password was recently changed. Not you? Secure account: fb-password.co"
ham,"I found your wallet! It was under the seat in my car."
spam,"CONGRATULATIONS! You've WON our $1,000 weekly drawing! Claim prize: cash-winner.co"
ham,"How was your vacation? Got back yesterday?"
spam,"URGENT: Your Chase account shows suspicious activity. Verify transactions: chase-secure.co"
ham,"The kids are excited about going to the zoo this weekend."
spam,"EXCLUSIVE OFFER: Get 80% OFF designer handbags! Limited time: luxury-deals.co"
ham,"Did you see that email from the boss about the new project?"
spam,"Your PayPal account has been limited due to suspicious activity. Verify: paypal-verify.co"
ham,"Can you bring the documents for the meeting tomorrow?"
spam,"ATTENTION: Your computer has 39 VIRUSES! Call tech support now: 1-888-555-4321"
ham,"I'll be about 10 minutes late for dinner. Sorry!"
spam,"IMPORTANT: Your tax refund of $3,427.89 is pending review. Verify: irs-tax-refund.co"
ham,"Don't forget to call mom for her birthday tomorrow!"
spam,"WINNER ALERT! You've won a $100 Amazon gift card in our drawing! Claim: amzn-winner.co"
ham,"The car is making a strange noise. Might need to take it to the mechanic."
spam,"URGENT: Your Social Security benefits will be suspended. Call now: 1-866-555-8765"
ham,"How did your presentation go today?"
spam,"Get APPROVED for a $25,000 personal loan today! Low rates, no credit check: fast-cash.co"
ham,"Let's go hiking this weekend if the weather is nice."
spam,"ALERT: Unusual sign-in attempt detected on your Google account. Verify: google-protect.co"
ham,"Can you pick up the dry cleaning tomorrow?"
spam,"CONGRATULATIONS! You've been selected to participate in our $5,000 Walmart survey! Start: wlmrt-survey.co"
ham,"Just wanted to wish you good luck on your test tomorrow!"
spam,"FINAL NOTICE: Your auto insurance has been canceled. Reinstate now: auto-insurance.co"
ham,"What time should we meet for lunch tomorrow?"
spam,"Your FEDEX package #FE892345 has arrived! Schedule delivery: fedex-schedule.co"
ham,"The dog threw up on the carpet again. Not fun to clean up."
spam,"ATTENTION CHASE CUSTOMER: Your account has been locked. Verify identity: chase-verify.co"
ham,"Can you send me the notes from today's meeting?"
spam,"FREE $1,000 Home Depot gift card! You've been selected! Claim now: homedepot-gift.co"
ham,"I'm going to be working late tonight. Don't wait up."
spam,"IMPORTANT: Your Netflix membership will be canceled tomorrow. Update billing: netflix-billing.co"
ham,"Did you see that new restaurant that opened downtown? Want to try it?"
spam,"ALERT: Your Apple iCloud has been breached! Secure your account now: apple-secure.co"
ham,"Can you feed the cat tonight? I'll be home late."
spam,"Congratulations! You've WON a $500 Visa gift card! Click to claim: visa-winner.co"
ham,"How was your doctor's appointment today?"
spam,"URGENT: Your United Airlines flight has been canceled. Reschedule: united-flights.co"
ham,"I found that book you were looking for at the bookstore."
spam,"Your AT&T bill is past due! Pay immediately to avoid service disruption: att-pay.co"
ham,"The kids are excited about going to the beach tomorrow."
spam,"SECURITY ALERT: Unauthorized login attempt on your Bank of America account. Verify: bofa-secure.co"
ham,"Can you get milk and eggs from the store on your way home?"
spam,"YOU'VE BEEN SELECTED to receive a FREE iPhone 14! Just pay shipping: free-iphone.co"
ham,"How did your interview go today? I've been thinking about you!"
spam,"ATTENTION: Your Discord account shows suspicious activity. Verify now: discord-secure.co"
ham,"Just wanted to check in and see how you're doing today."
spam,"FINAL WARNING: Your electricity service will be disconnected TODAY. Pay now: electric-pay.co"
ham,"Can you water the plants while I'm away this weekend?"
spam,"CONGRATULATIONS! Your cell number was selected to receive a $1,000 Costco card! Claim: costco-win.co"
ham,"The party on Saturday starts at 8pm. Don't forget!"
spam,"URGENT: Your American Express card has been charged $899.99. Dispute: amex-dispute.co"
ham,"Did you find your lost keys yet?"
spam,"Make $500 DAILY working from home! We're hiring now: remote-jobs.co"
ham,"I made dinner reservations for 7:30pm tonight."
spam,"Your FEDEX package has been seized by customs. Pay fee to release: fedex-customs.co"
ham,"The dentist appointment is at 2:30pm tomorrow."
spam,"ATTENTION: Your Microsoft account password expires today. Reset now: microsoft-reset.co"
ham,"Can you call the plumber about the leaky faucet?"
spam,"EXCLUSIVE OFFER: 90% OFF Ray-Ban sunglasses! Limited stock: luxury-shades.co"
ham,"I'll be in a meeting until 4pm today. Talk later."
spam,"ALERT: Your Wells Fargo debit card has been deactivated. Call now: 1-888-555-2468"
ham,"What time does the concert start tonight?"
spam,"YOU'RE PRE-APPROVED for a $250,000 mortgage at 2.3% APR! Apply now: ez-mortgage.co"
ham,"Can you send me the address for the restaurant tonight?"
spam,"URGENT: Your Instagram account will be permanently deleted. Verify: instagram-verify.co"
ham,"Don't forget to put the trash out tonight. It's pickup day tomorrow."
spam,"ATTENTION: Your Disney+ subscription has expired. Renew now: disney-renew.co"
ham,"The package should be delivered sometime between 2pm and 5pm today."
spam,"WARNING: Your computer is infected with spyware! Call tech support: 1-866-555-9876"
ham,"I just got tickets to the concert next month! So excited!"
spam,"CONGRATULATIONS! You've won a $100 Starbucks gift card! Claim prize: sbux-winner.co"
ham,"Can you pick up some aspirin on your way home? I have a headache."
spam,"FINAL NOTICE: Your Netflix account shows a failed payment. Update now: netflix-payment.co"
ham,"How was your day today? Mine was super busy."
spam,"URGENT: Your tax return has been rejected by the IRS. Details: tax-refund.co"
ham,"I made your favorite dinner tonight. Should be ready around 6:30pm."
spam,"AMAZING OFFER: Get 75% OFF all Nike products! Shop now: nike-deals.co"
ham,"The PTA meeting is Thursday night at 7pm if you want to come."
spam,"ALERT: Your Gmail password was changed. Not you? Secure account: gmail-secure.co"
ham,"Can you call the doctor to reschedule my appointment?"
spam,"You've WON our daily drawing! $500 Target gift card waiting! Claim: target-winner.co"
ham,"Just wanted to let you know I arrived safely. The flight was good."
spam,"SECURITY ALERT: Your Apple ID has been locked for security. Verify: apple-unlock.co"
ham,"What time does the movie end tonight? Should I pick you up?"
spam,"ATTENTION: Your Southwest flight has been canceled. Reschedule: southwest-flights.co"
ham,"Can you bring home some Thai food for dinner tonight?"
spam,"CONGRATULATIONS! You qualify for student loan forgiveness! Apply: student-relief.co"
ham,"The meeting with the client went really well today!"
spam,"URGENT: Your Facebook account will be permanently deleted. Verify identity: facebook-verify.co"
ham,"Don't forget to take your medication tonight."
spam,"EXCLUSIVE: Buy one iPhone, get one FREE! Limited time offer: apple-bogo.co"
ham,"Can you call the landlord about the broken dishwasher?"
spam,"ATTENTION: Your Amazon order of AirPods Pro has shipped! Track: amazon-track.co"
ham,"The kids have a half day at school tomorrow. Don't forget."
spam,"WARNING: Your Venmo account shows suspicious activity. Verify now: venmo-secure.co"
ham,"Just got home from the gym. Great workout today!"
spam,"CONGRATULATIONS! You've been selected for a $50 DoorDash credit! Claim: doordash-free.co"
ham,"What should we get mom for her birthday next week?"
spam,"URGENT: Your Capital One credit card has been suspended. Call now: 1-888-555-1357"
ham,"Can you pick up the kids from daycare today? I'm stuck in a meeting."
spam,"Get a FREE Samsung Galaxy S22! You've been selected: samsung-winner.co"
ham,"The new coffee shop downtown is amazing. We should go sometime."
spam,"IMPORTANT: Your eBay account has been limited. Verify identity: ebay-secure.co"
ham,"Don't forget we have dinner with the Johnsons tomorrow night at 7pm."
spam,"ATTENTION: Your American Express card shows suspicious charges. Verify: amex-verify.co"
ham,"Can you send me the link to that article you mentioned?"
spam,"Make $1,000 WEEKLY from your phone! Easy work, instant pay: easy-income.co"
ham,"The car needs an oil change. Can you schedule it for next week?"
spam,"FINAL WARNING: Your internet service will be disconnected today. Pay now: internet-pay.co"
ham,"How was your dental appointment today?"
spam,"EXCLUSIVE OFFER: Get 80% OFF designer watches! Shop now: luxury-watches.co"
ham,"Just wanted to remind you about the doctor's appointment tomorrow at 10am."
spam,"URGENT: Your bank card has been blocked. Call immediately: 1-866-555-8642"
ham,"Can you pick up some cold medicine? I think I'm coming down with something."
spam,"CONGRATULATIONS! You've won a $250 Visa gift card in our drawing! Claim: visa-prize.co"
ham,"The parent-teacher conference is on Thursday at 4:30pm."
spam,"ATTENTION: Your Spotify Premium subscription has expired. Renew now: spotify-renewal.co"
ham,"Did you call the plumber about the bathroom leak?"
spam,"IMPORTANT: Your Walmart account shows unusual activity. Verify now: walmart-secure.co"
ham,"I got us tickets to the museum exhibit this weekend!"
spam,"SECURITY ALERT: Your bank account has been compromised. Call now: 1-888-555-2468"
ham,"Can you pick up some bread on your way home?"
spam,"FINAL CHANCE: Claim your FREE iPhone 14 Pro! You've been selected: iphone-winner.co"
ham,"The dog has a vet appointment tomorrow at 3pm."
spam,"URGENT: Your UPS package requires address confirmation. Verify: ups-delivery.co"
ham,"I'm running late for dinner. Be there in about 20 minutes."
spam,"ATTENTION: Your Verizon account is past due. Pay now to avoid service interruption: verizon-pay.co"
ham,"Did you get the email about the company picnic next weekend?"
spam,"CONGRATULATIONS! You've won a $1,000 Amazon shopping spree! Claim prize: amzn-winner.co"
ham,"Can you help me move the furniture this weekend?"
spam,"WARNING: Your computer has been infected with malware. Call tech support: 1-866-555-7531"
ham,"I just got a new job! Starting next month. So excited!"
spam,"ATTENTION: Your PayPal account has been temporarily limited. Verify: paypal-secure.co"
ham,"The meeting tomorrow has been moved to Conference Room B."
spam,"EXCLUSIVE OFFER: Get 70% OFF all Apple products! Limited time: apple-sale.co"
ham,"Can you pick up my prescription from the pharmacy today?"
spam,"Your FEDEX package #FE567891 is held at customs. Pay fee: fedex-customs.co"
ham,"Don't forget about the parent-teacher conference tonight at 6pm."
spam,"URGENT: Your Chase credit card has been suspended. Call now: 1-888-555-9753"
ham,"What time should I come over tomorrow to help with the project?"
spam,"ATTENTION: Your Microsoft Office subscription has expired. Renew now: ms-office.co"
ham,"Can you feed the dog tonight? I'll be home late."
spam,"CONGRATULATIONS! You've won a $500 Best Buy gift card! Claim prize: bestbuy-winner.co"
ham,"I found your earrings. They were under the couch."
spam,"SECURITY ALERT: Your Google account shows suspicious login attempts. Verify: google-secure.co"
ham,"The kids have soccer practice at 4:30pm today."
spam,"URGENT: Your electricity will be disconnected in 3 hours. Pay now: utility-payment.co"
ham,"Can you send me the recipe for that chicken dish you made last week?"
spam,"AMAZING OFFER: Buy one MacBook, get AirPods FREE! Shop now: apple-special.co"
ham,"I just got tickets to the concert next month! Want to come?"
spam,"ATTENTION: Your Netflix account will be suspended. Update payment: netflix-renew.co"
ham,"What time does your flight land tomorrow?"
spam,"YOUR ACCOUNT WILL BE DELETED: Verify your Bank of America account now: bofa-verify.co"
ham,"Can you pick up some dog food on your way home?"
spam,"CONGRATULATIONS! You've been selected for a $100 McDonald's gift card! Claim: mcdonalds-prize.co"
ham,"Don't forget to call the electrician about the kitchen light."
spam,"IMPORTANT: Your Amazon Prime membership has expired. Renew now: amazon-prime.co"
ham,"I'll be working late tonight. Don't wait up for dinner."
spam,"URGENT: Your Social Security Number has been suspended. Call now: 1-866-555-4231"
ham,"Can you water the plants while I'm away next week?"
spam,"Your DHL package #DH123456 is held at customs. Pay fee to release: dhl-customs.co"
ham,"How was your job interview today? I've been thinking about you!"
spam,"WARNING: Your Instagram account shows unusual activity. Secure now: instagram-security.co"
ham,"The birthday party starts at 2pm on Sunday."
spam,"ATTENTION: Your American Express card has been charged $799.99. Dispute: amex-dispute.co"
ham,"Can you bring your famous potato salad to the barbecue this weekend?"
spam,"FINAL NOTICE: Your car warranty has expired. Last chance to renew: warranty-renewal.co"
ham,"I just finished reading that book you recommended. It was great!"
spam,"EXCLUSIVE OFFER: Get 85% OFF Ray-Ban sunglasses! Limited stock: rayban-deals.co"
ham,"What time should I pick you up for the airport tomorrow?"
spam,"SECURITY ALERT: Your Venmo account has been compromised. Verify now: venmo-verify.co"
ham,"Can you call the plumber about the bathroom leak?"
spam,"CONGRATULATIONS! You've won our $1,000 daily giveaway! Claim prize: cash-winner.co"
ham,"The school play is on Friday at 7pm if you want to come."
spam,"URGENT: Your electric service will be disconnected TODAY. Pay now: utility-pay.co"
ham,"I made dinner reservations for 7:30pm on Saturday."
spam,"ATTENTION: Your Uber account shows suspicious activity. Verify now: uber-security.co"
ham,"Don't forget to take your medication with dinner."
spam,"Get APPROVED for a $10,000 personal loan today! No credit check required: quick-loan.co"
ham,"Can you pick up some coffee on your way home? We're out."
spam,"WARNING: Your Apple ID will be permanently disabled. Verify now: apple-verify.co"
ham,"The weather looks great for our picnic on Saturday!"
spam,"IMPORTANT: Your T-Mobile account is past due. Pay now: tmobile-payment.co"
ham,"Did you call about getting the car serviced?"
spam,"EXCLUSIVE: Buy one iPhone 14, get Apple Watch FREE! Limited time: apple-bundle.co"
ham,"Can you drop off the kids at school tomorrow? I have an early meeting."
spam,"URGENT: Your Wells Fargo account has been locked. Verify identity: wellsfargo-secure.co"
ham,"I'm making your favorite dinner tonight. Should be ready by 7pm."
spam,"CONGRATULATIONS! You've been selected for a $50 Chipotle gift card! Claim: chipotle-winner.co"
ham,"Don't forget we have tickets to the theater on Friday night."
spam,"ATTENTION: Your Amazon order of PS5 has been shipped! Track: amazon-tracking.co"
ham,"Can you get some cough medicine? I think I'm coming down with something."
spam,"Your FEDEX package #FE987654 requires address confirmation. Verify: fedex-delivery.co"
ham,"How did your exam go today?"
spam,"SECURITY ALERT: Your Gmail password was recently changed. Not you? Verify: gmail-reset.co"
ham,"I got a promotion at work today! Let's celebrate this weekend!"
spam,"FINAL WARNING: Your internet service will be disconnected. Pay now: internet-bill.co"
ham,"Can you pick up the kids from soccer practice at 5:30pm?"
spam,"CONGRATULATIONS! You've won a $500 Target gift card! Claim prize: target-reward.co"
ham,"The doctor's appointment is tomorrow at 10:30am. Don't forget!"
spam,"URGENT: Your Microsoft account shows suspicious login attempts. Verify: microsoft-secure.co"
ham,"I just found that book you've been looking for at the library."
spam,"ATTENTION: Your Disney+ subscription will be canceled. Update payment: disney-renew.co"
ham,"Can you call the landlord about the broken dishwasher?"
spam,"Make $3,000 WEEKLY from home! No experience needed! Start now: easy-money.co"
ham,"The dinner party starts at 7pm on Saturday. Don't forget!"
spam,"IMPORTANT: Your Netflix password was recently changed. Not you? Secure account: netflix-reset.co"
ham,"Did you remember to pay the water bill this month?"
spam,"SECURITY ALERT: Your Facebook account shows suspicious activity. Verify now: facebook-secure.co"
ham,"Can you pick up some milk and bread on your way home?"
spam,"CONGRATULATIONS! You've been selected to receive a FREE Samsung TV! Just pay shipping: samsung-tv.co"
ham,"I'll be home around 6:30pm tonight. Traffic is terrible."
spam,"ATTENTION: Your Chase credit card has been charged $599.99. Dispute: chase-dispute.co"
ham,"Don't forget about your dentist appointment tomorrow at 2pm."
spam,"URGENT: Your Social Security benefits will be suspended. Call now: 1-888-555-6431"
ham,"Can you water the plants while I'm away this weekend?"
spam,"EXCLUSIVE OFFER: Get 90% OFF designer handbags! Limited time: luxury-bags.co"
ham,"I just baked your favorite cookies. Come over and get some!"
spam,"WARNING: Your PayPal account has been limited. Verify identity: paypal-verify.co"
ham,"What time does the party start on Saturday?"
spam,"IMPORTANT: Your Amazon account has been locked. Verify now: amazon-secure.co"
ham,"Can you call the doctor to reschedule my appointment for next week?"
spam,"CONGRATULATIONS! You've won a $1,000 Visa gift card! Claim prize: visa-winner.co"
ham,"I'm going to be about 15 minutes late to the meeting."
spam,"URGENT: Your electric service will be disconnected in 24 hours. Pay now: utility-payment.co"
ham,"Did you see that new movie that just came out? Want to go this weekend?"
spam,"ATTENTION: Your iPhone has been infected with 4 viruses! Clean now: phone-security.co"
ham,"Can you pick up the dry cleaning tomorrow? It's ready."
spam,"SECURITY ALERT: Your Apple iCloud account has been breached. Secure now: apple-secure.co"
ham,"The parent-teacher conference is on Thursday at 5pm."
spam,"FINAL NOTICE: Your auto insurance has been canceled. Reinstate now: auto-insurance.co"
ham,"I just got tickets to the game on Sunday! Want to come?"
spam,"CONGRATULATIONS! You've been selected for a $100 Walmart gift card! Claim: walmart-winner.co"
ham,"Can you send me the address for the restaurant tonight?"
spam,"URGENT: Your Bank of America account has been frozen. Verify identity: bofa-verify.co"
ham,"Don't forget to call mom for her birthday tomorrow!"
spam,"Make $5,000 MONTHLY with Bitcoin! No experience needed! Start: crypto-fortune.co"
ham,"I'll be in a meeting until 3pm today. Talk later."
spam,"ATTENTION: Your Instagram account will be permanently deleted. Verify: instagram-verify.co"
ham,"Can you feed the cat tonight? I'll be home late."
spam,"IMPORTANT: Your Microsoft Office subscription has expired. Renew now: office-renew.co"
ham,"How was your doctor's appointment today?"
spam,"SECURITY ALERT: Your Gmail account shows suspicious login attempts. Verify: gmail-secure.co"
ham,"The kids have a half day at school tomorrow. Don't forget."
spam,"CONGRATULATIONS! You've won a $50 Uber Eats credit! Claim now: ubereats-winner.co"
ham,"Can you pick up some aspirin? I have a headache."
spam,"URGENT: Your electric bill is past due. Pay now to avoid disconnection: electric-pay.co
ham,"Just got back from the doctor. Everything looks good!"
spam,"ATTENTION: Your Hulu subscription has expired. Update payment: hulu-renew.co"
ham,"Can you pick up the kids from school today? I have a meeting."
spam,"CONGRATULATIONS! You've been selected for a $200 Airbnb credit! Claim: airbnb-winner.co"
ham,"Don't forget about the company picnic this Saturday at noon."
spam,"SECURITY ALERT: Your Twitter account shows unusual activity. Verify: twitter-secure.co"
ham,"I'm making lasagna for dinner tonight. Should be ready by 7pm."
spam,"URGENT: Your Verizon account is past due. Pay now: verizon-payment.co"
ham,"Can you call the plumber about the leaky faucet in the bathroom?"
spam,"Make $2,000 WEEKLY with our affiliate program! Join now: easy-profit.co"
ham,"The meeting has been rescheduled to Thursday at 2pm."
spam,"ATTENTION: Your Spotify account will be deleted. Verify identity: spotify-verify.co"
ham,"Just wanted to check if you're feeling better today?"
spam,"FINAL WARNING: Your car warranty coverage ends tomorrow. Renew now: warranty-extend.co"
ham,"Can you pick up some groceries on your way home? We need milk, bread, and eggs."
spam,"CONGRATULATIONS! You've won a $50 Starbucks gift card! Claim prize: starbucks-win.co"
ham,"Don't forget about the parent-teacher conference tonight at 6:30pm."
spam,"URGENT: Your American Express card has been charged $499.99. Dispute: amex-dispute.co"
ham,"I'm running late for our lunch. Be there in about 15 minutes."
spam,"SECURITY ALERT: Your Snapchat account shows suspicious login attempts. Verify: snapchat-secure.co"
ham,"Can you feed the dog tonight? I'll be home late."
spam,"ATTENTION: Your Sprint bill is past due. Pay now to avoid service interruption: sprint-pay.co"
ham,"The kids are excited about going to the museum this weekend."
spam,"EXCLUSIVE OFFER: Get 75% OFF all Samsung products! Shop now: samsung-deals.co"
ham,"What time does the concert start tonight?"
spam,"IMPORTANT: Your Xbox Live account has been locked. Verify identity: xbox-secure.co"
ham,"Can you send me the address for the party on Saturday?"
spam,"CONGRATULATIONS! You've won our $1,000 daily drawing! Claim prize: cash-winner.co"
ham,"Don't forget to call the doctor to schedule your annual checkup."
spam,"URGENT: Your Southwest flight has been canceled. Reschedule: southwest-flights.co"
ham,"I just got a new job! Starting next month. So excited!"
spam,"WARNING: Your iPhone shows 12 viruses! Clean now: phone-security.co"
ham,"Can you help me move the furniture this weekend?"
spam,"ATTENTION: Your Walmart account shows suspicious activity. Verify: walmart-secure.co"
ham,"The dentist appointment is at 10:30am tomorrow."
spam,"Get APPROVED for a $15,000 personal loan today! Low interest rate: fast-loan.co"
ham,"I'll be working late tonight. Don't wait up for dinner."
spam,"FINAL NOTICE: Your internet service will be disconnected tomorrow. Pay now: internet-pay.co"
ham,"Can you pick up my prescription from the pharmacy today?"
spam,"CONGRATULATIONS! You've been selected for a $100 DoorDash credit! Claim: doordash-free.co"
ham,"How was your meeting with the client today?"
spam,"SECURITY ALERT: Your Amazon account shows unusual activity. Verify: amazon-secure.co"
ham,"Don't forget we have tickets to the theater on Friday night."
spam,"URGENT: Your Social Security Number has been suspended. Call now: 1-888-555-7654"
ham,"Can you water the plants while I'm away this weekend?"
spam,"EXCLUSIVE OFFER: Buy one iPhone 14, get AirPods FREE! Limited time: apple-deals.co"
ham,"The parent-teacher conference is on Thursday at 4pm."
